user_id,currency,balance_in_file,balance_in_system,active,account_zeroed
6424820,GBP,143,143,0,yes
6644700,GBP,138,138,0,yes
1967199790,GBP,137,137,0,yes
1967196680,GBP,127,127,0,yes
1967175070,GBP,123,123,0,yes
1967185110,GBP,123,123,0,yes
1967075710,GBP,122,122,0,yes
6451250,GBP,115,115,0,yes
1967189980,GBP,115,115,0,yes
1967191540,GBP,114,114,0,yes
6937810,GBP,111,111,0,yes
6618500,GBP,110,110,0,yes
1967206900,GBP,110,110,0,yes
1967198290,GBP,104,104,0,yes
1966956050,GBP,93,93,0,yes
1967202850,GBP,90,90,0,yes
1967066750,GBP,83,83,0,yes
1966985280,GBP,82,82,0,yes
1967198830,GBP,82,82,0,yes
5687650,GBP,76,76,0,yes
6341900,GBP,76,76,0,yes
6760010,GBP,69,69,0,yes
1966962470,GBP,67,67,0,yes
1967205290,GBP,67,67,0,yes
1967197070,GBP,65,65,0,yes
5477920,GBP,64,64,0,yes
1967195920,GBP,63,63,0,yes
1967204560,GBP,62,62,0,yes
6627660,GBP,60,60,0,yes
1967192570,GBP,58,58,0,yes
1967188920,GBP,57,57,0,yes
1967208670,GBP,57,57,0,yes
1967203050,GBP,53,53,0,yes
1966972110,GBP,51,51,0,yes
5432850,GBP,47,47,0,yes
6876570,GBP,47,47,0,yes
1967202320,GBP,46,46,0,yes
1966925880,GBP,45,45,0,yes
1967166460,GBP,45,45,0,yes
1967197900,GBP,44,44,0,yes
1966977790,GBP,42,42,0,yes
1967073520,GBP,41,41,0,yes
1967197530,GBP,41,41,0,yes
6344480,GBP,40,40,0,yes
1967045290,GBP,37,37,0,yes
1967019660,GBP,35,35,0,yes
1967202580,GBP,35,35,0,yes
1967013070,GBP,28,28,0,yes
5237570,GBP,24,24,0,yes
1966971750,GBP,24,24,0,yes
1967186100,GBP,23,23,0,yes
1967188730,GBP,22,22,0,yes
6450750,GBP,19,19,0,yes
1966981970,GBP,18,18,0,yes
1967189180,GBP,18,18,0,yes
5630490,GBP,17,17,0,yes
6852620,GBP,17,17,0,yes
1966967870,GBP,16,16,0,yes
1967190100,GBP,16,16,0,yes
1966917520,GBP,15,15,0,yes
1967209590,GBP,15,15,0,yes
1967043760,GBP,14,14,0,yes
6209320,GBP,13,13,0,yes
6934210,GBP,13,13,0,yes
1967089590,GBP,13,13,0,yes
1967076930,GBP,12,12,0,yes
1967194350,GBP,12,12,0,yes
1967209720,GBP,12,12,0,yes
5400530,GBP,10,10,0,yes
6431670,GBP,9,9,0,yes
1967194160,GBP,9,9,0,yes
1967210470,GBP,9,9,0,yes
6457510,GBP,8,8,0,yes
1966954610,GBP,8,8,0,yes
1967185580,GBP,8,8,0,yes
6652880,GBP,6,6,0,yes
6869660,GBP,6,6,0,yes
6581440,GBP,5,5,0,yes
1967205060,GBP,5,5,0,yes
1967081950,GBP,4,4,0,yes
1967194250,GBP,4,4,0,yes
6699810,GBP,3,3,0,yes
1966999740,GBP,3,3,0,yes
1967195620,GBP,3,3,0,yes
5485030,GBP,2,2,0,yes
1967191750,GBP,2,2,0,yes
1967194090,GBP,2,2,0,yes
5239080,GBP,1,1,0,yes
1967026740,GBP,1,1,0,yes
1967194961,GBP,149,149,0,yes
1967009941,GBP,148,148,0,yes
1967200031,GBP,137,137,0,yes
1967193821,GBP,121,121,0,yes
1967188521,GBP,119,119,0,yes
6628261,GBP,118,118,0,yes
6562901,GBP,112,112,0,yes
6431411,GBP,111,111,0,yes
6458531,GBP,107,107,0,yes
1967016441,GBP,100,100,0,yes
1966994001,GBP,99,99,0,yes
6343701,GBP,91,91,0,yes
1967205021,GBP,86,86,0,yes
6187741,GBP,85,85,0,yes
1966941051,GBP,81,81,0,yes
1966995701,GBP,79,79,0,yes
6351921,GBP,76,76,0,yes
6688331,GBP,74,74,0,yes
1967198641,GBP,70,70,0,yes
1967203611,GBP,68,68,0,yes
1966980181,GBP,67,67,0,yes
1967062111,GBP,64,64,0,yes
1967197731,GBP,60,60,0,yes
1967052001,GBP,59,59,0,yes
1967083651,GBP,58,58,0,yes
1967206551,GBP,53,53,0,yes
1967199101,GBP,52,52,0,yes
1967198181,GBP,51,51,0,yes
1967196781,GBP,50,50,0,yes
1967196641,GBP,49,49,0,yes
1967194011,GBP,48,48,0,yes
6765161,GBP,44,44,0,yes
1966908241,GBP,42,42,0,yes
1967194881,GBP,42,42,0,yes
6597231,GBP,40,40,0,yes
1960770731,GBP,39,39,0,yes
6379201,GBP,37,37,0,yes
1967084251,GBP,37,37,0,yes
1967192491,GBP,37,37,0,yes
6347081,GBP,35,35,0,yes
6446461,GBP,34,34,0,yes
1967067611,GBP,33,33,0,yes
6601221,GBP,32,32,0,yes
1966913271,GBP,32,32,0,yes
6702791,GBP,29,29,0,yes
1967208501,GBP,29,29,0,yes
1967057181,GBP,28,28,0,yes
1967207051,GBP,27,27,0,yes
6671731,GBP,26,26,0,yes
6343551,GBP,25,25,0,yes
6424521,GBP,25,25,0,yes
1967066021,GBP,25,25,0,yes
6370371,GBP,23,23,0,yes
6883131,GBP,19,19,0,yes
1967194091,GBP,19,19,0,yes
6776031,GBP,18,18,0,yes
1966980371,GBP,18,18,0,yes
1967189321,GBP,15,15,0,yes
1967207661,GBP,14,14,0,yes
1967209491,GBP,14,14,0,yes
1967190761,GBP,13,13,0,yes
6446081,GBP,12,12,0,yes
1967058761,GBP,12,12,0,yes
1967210001,GBP,10,10,0,yes
5318651,GBP,9,9,0,yes
1967022411,GBP,9,9,0,yes
1967181801,GBP,9,9,0,yes
6505191,GBP,8,8,0,yes
6703651,GBP,8,8,0,yes
6728931,GBP,8,8,0,yes
6781201,GBP,8,8,0,yes
1966971151,GBP,8,8,0,yes
6863491,GBP,7,7,0,yes
1966986001,GBP,6,6,0,yes
1967063651,GBP,5,5,0,yes
1967076591,GBP,5,5,0,yes
1967081961,GBP,5,5,0,yes
1967194621,GBP,5,5,0,yes
6661321,GBP,4,4,0,yes
1967087501,EUR,4,4,0,yes
5219321,GBP,3,3,0,yes
5803621,GBP,3,3,0,yes
6520831,GBP,3,3,0,yes
1966963091,GBP,3,3,0,yes
1967019131,GBP,3,3,0,yes
1967073661,GBP,3,3,0,yes
6388851,GBP,2,2,0,yes
1966930531,GBP,2,2,0,yes
1967057341,GBP,2,2,0,yes
6597511,GBP,1,1,0,yes
6752761,GBP,1,1,0,yes
1967185622,GBP,147,147,0,yes
1966953942,GBP,146,146,0,yes
1967194652,GBP,142,142,0,yes
1967203112,GBP,138,138,0,yes
1966919772,GBP,136,136,0,yes
1967194572,GBP,135,135,0,yes
6308122,GBP,132,132,0,yes
6311712,GBP,120,120,0,yes
1967016272,GBP,116,116,0,yes
1967197132,GBP,111,111,0,yes
1967190892,GBP,106,106,0,yes
1967037992,GBP,105,105,0,yes
1967087312,GBP,95,95,0,yes
1967199172,GBP,91,91,0,yes
5721352,GBP,82,82,0,yes
6217332,GBP,82,82,0,yes
1967196572,GBP,82,82,0,yes
1966999822,GBP,81,81,0,yes
1967194592,GBP,76,76,0,yes
5407092,GBP,68,68,0,yes
1967198392,GBP,65,65,0,yes
1967038132,GBP,62,62,0,yes
1967202552,GBP,61,61,0,yes
1967073942,GBP,59,59,0,yes
1967210282,GBP,59,59,0,yes
1967040392,GBP,57,57,0,yes
1967191972,GBP,55,55,0,yes
6575642,GBP,52,52,0,yes
6675002,GBP,49,49,0,yes
6568912,GBP,46,46,0,yes
1967199772,GBP,46,46,0,yes
5805522,GBP,45,45,0,yes
1967200672,GBP,42,42,0,yes
1967080162,GBP,41,41,0,yes
1967079692,GBP,39,39,0,yes
1967205082,GBP,39,39,0,yes
6604622,GBP,38,38,0,yes
6863862,GBP,38,38,0,yes
1967006992,GBP,38,38,0,yes
1967082282,GBP,34,34,0,yes
6503812,GBP,31,31,0,yes
1967196302,GBP,29,29,0,yes
1967200542,GBP,29,29,0,yes
1967210222,GBP,28,28,0,yes
1967198482,GBP,27,27,0,yes
6875122,GBP,25,25,0,yes
1966974332,GBP,25,25,0,yes
1967084942,GBP,24,24,0,yes
1967202622,GBP,24,24,0,yes
1967078422,GBP,23,23,0,yes
1967049412,GBP,21,21,0,yes
5290782,GBP,20,20,0,yes
6592322,GBP,18,18,0,yes
1967193542,GBP,18,18,0,yes
1967187732,GBP,17,17,0,yes
1966918802,GBP,16,16,0,yes
1966965632,GBP,16,16,0,yes
1967207032,GBP,16,16,0,yes
6243632,GBP,15,15,0,yes
1967053282,GBP,15,15,0,yes
1967201232,GBP,15,15,0,yes
1967195822,GBP,14,14,0,yes
1966982052,GBP,11,11,0,yes
1967198082,GBP,10,10,0,yes
1966921292,GBP,9,9,0,yes
1967012662,GBP,9,9,0,yes
1967066762,GBP,9,9,0,yes
1967194242,GBP,8,8,0,yes
1966928712,GBP,7,7,0,yes
1967078152,GBP,7,7,0,yes
5659302,GBP,5,5,0,yes
1967062542,GBP,4,4,0,yes
1967072332,GBP,4,4,0,yes
1967200742,GBP,4,4,0,yes
1967206062,GBP,4,4,0,yes
1967202662,GBP,3,3,0,yes
1967209192,GBP,3,3,0,yes
6754332,GBP,1,1,0,yes
6772962,GBP,1,1,0,yes
1966960512,GBP,1,1,0,yes
1967189782,GBP,1,1,0,yes
1967085003,GBP,149,149,0,yes
5756743,GBP,147,147,0,yes
1967193893,GBP,142,142,0,yes
5643703,GBP,137,137,0,yes
1966956153,GBP,131,131,0,yes
1967206683,GBP,131,131,0,yes
1967205373,GBP,130,130,0,yes
1966915693,GBP,123,123,0,yes
1966932603,GBP,122,122,0,yes
1966973393,GBP,122,122,0,yes
1967198723,GBP,119,119,0,yes
1967193323,GBP,118,118,0,yes
1967069933,GBP,114,114,0,yes
1966957783,GBP,112,112,0,yes
1967194653,GBP,112,112,0,yes
