user_id,currency,balance_in_file,balance_in_system,active,account_zeroed
4000023570,GBP,146,146,0,yes
4000034990,GBP,138,138,0,yes
4000023150,GBP,137,137,0,yes
4000034040,GBP,133,133,0,yes
4000004310,GBP,132,132,0,yes
4000003800,GBP,127,127,0,yes
4000033410,GBP,127,127,0,yes
4000025710,GBP,119,119,0,yes
4000004010,GBP,118,118,0,yes
4000035480,GBP,117,117,0,yes
4000029260,GBP,115,115,0,yes
4000004030,GBP,114,114,0,yes
4000019750,GBP,109,109,0,yes
4000035580,GBP,106,106,0,yes
4000019430,GBP,105,105,0,yes
4000027140,GBP,105,105,0,yes
4000025510,GBP,101,101,0,yes
4000011160,GBP,99,99,0,yes
4000006860,GBP,98,98,0,yes
4000007880,GBP,94,94,0,yes
4000022520,GBP,90,90,0,yes
4000035670,GBP,89,89,0,yes
4000026490,GBP,80,80,0,yes
4000024400,GBP,78,78,0,yes
4000024990,GBP,75,75,0,yes
4000000720,GBP,74,74,0,yes
4000014820,GBP,73,73,0,yes
4000029170,GBP,72,72,0,yes
4000032330,GBP,72,72,0,yes
4000032380,GBP,70,70,0,yes
4000036170,GBP,70,70,0,yes
4000038870,GBP,67,67,0,yes
4000011040,GBP,64,64,0,yes
4000008540,GBP,60,60,0,yes
4000025120,GBP,55,55,0,yes
4000016590,GBP,40,40,0,yes
4000020400,GBP,36,36,0,yes
4000018380,GBP,28,28,0,yes
4000034560,GBP,28,28,0,yes
4000039460,GBP,27,27,0,yes
4000033290,GBP,18,18,0,yes
4000011650,GBP,11,11,0,yes
4000032640,GBP,10,10,0,yes
4000019600,GBP,9,9,0,yes
4000037210,GBP,9,9,0,yes
4000006800,GBP,8,8,0,yes
4000015620,GBP,8,8,0,yes
4000028870,GBP,8,8,0,yes
4000037010,GBP,8,8,0,yes
4000013100,GBP,7,7,0,yes
4000019300,GBP,7,7,0,yes
4000024110,GBP,7,7,0,yes
4000025420,GBP,6,6,0,yes
4000028810,GBP,6,6,0,yes
4000017660,GBP,5,5,0,yes
4000021560,GBP,5,5,0,yes
4000021840,GBP,5,5,0,yes
4000037930,GBP,5,5,0,yes
4000039380,GBP,5,5,0,yes
4000018550,GBP,4,4,0,yes
4000020250,GBP,4,4,0,yes
4000020920,GBP,4,4,0,yes
4000023930,GBP,4,4,0,yes
4000033220,GBP,4,4,0,yes
4000034710,GBP,4,4,0,yes
4000036430,GBP,4,4,0,yes
4000001500,GBP,3,3,0,yes
4000006730,GBP,3,3,0,yes
4000011740,GBP,3,3,0,yes
4000031330,GBP,3,3,0,yes
4000021820,GBP,2,2,0,yes
4000022170,GBP,2,2,0,yes
4000000810,GBP,1,1,0,yes
4000004041,GBP,149,149,0,yes
4000026801,GBP,148,148,0,yes
4000028971,GBP,143,143,0,yes
4000023211,GBP,139,139,0,yes
4000034821,GBP,138,138,0,yes
4000001441,GBP,123,123,0,yes
4000013761,GBP,120,120,0,yes
4000004261,GBP,117,117,0,yes
4000026531,GBP,116,116,0,yes
4000023631,GBP,114,114,0,yes
4000027591,GBP,113,113,0,yes
4000005251,GBP,112,112,0,yes
4000026641,GBP,111,111,0,yes
4000021311,GBP,107,107,0,yes
4000024411,GBP,107,107,0,yes
4000037611,GBP,104,104,0,yes
4000027101,GBP,99,99,0,yes
4000024371,GBP,98,98,0,yes
4000022301,GBP,96,96,0,yes
4000023801,GBP,96,96,0,yes
4000015011,GBP,91,91,0,yes
4000011861,GBP,90,90,0,yes
4000028751,GBP,89,89,0,yes
4000025021,GBP,88,88,0,yes
4000023291,GBP,81,81,0,yes
4000010421,GBP,78,78,0,yes
4000021621,GBP,78,78,0,yes
4000022611,GBP,76,76,0,yes
4000025071,GBP,75,75,0,yes
4000024941,GBP,74,74,0,yes
4000015461,GBP,73,73,0,yes
4000040451,GBP,72,72,0,yes
4000021441,GBP,71,71,0,yes
4000008901,GBP,59,59,0,yes
4000024151,GBP,58,58,0,yes
4000029871,GBP,58,58,0,yes
4000027961,GBP,56,56,0,yes
4000035641,GBP,50,50,0,yes
4000026741,GBP,45,45,0,yes
4000030451,GBP,28,28,0,yes
4000018501,GBP,23,23,0,yes
4000030121,GBP,14,14,0,yes
4000027511,GBP,13,13,0,yes
4000014241,GBP,12,12,0,yes
4000028511,GBP,12,12,0,yes
4000001101,GBP,11,11,0,yes
4000034211,GBP,10,10,0,yes
4000006161,GBP,9,9,0,yes
4000006451,GBP,9,9,0,yes
4000011361,GBP,9,9,0,yes
4000031351,GBP,9,9,0,yes
4000010001,GBP,8,8,0,yes
4000014871,GBP,8,8,0,yes
4000019271,GBP,8,8,0,yes
4000024121,GBP,8,8,0,yes
4000017851,GBP,7,7,0,yes
4000027411,GBP,7,7,0,yes
4000036531,GBP,7,7,0,yes
4000025861,GBP,5,5,0,yes
4000028071,GBP,5,5,0,yes
4000011431,GBP,4,4,0,yes
4000011491,GBP,4,4,0,yes
4000020651,GBP,4,4,0,yes
4000025081,GBP,4,4,0,yes
4000037751,GBP,4,4,0,yes
4000011231,GBP,3,3,0,yes
4000014041,GBP,3,3,0,yes
4000025721,GBP,3,3,0,yes
4000027391,GBP,3,3,0,yes
4000035781,GBP,3,3,0,yes
4000006911,GBP,2,2,0,yes
4000008191,GBP,2,2,0,yes
4000026551,GBP,1,1,0,yes
4000029331,GBP,1,1,0,yes
4000038111,GBP,1,1,0,yes
4000019992,GBP,150,150,0,yes
4000032132,GBP,145,145,0,yes
4000027872,GBP,141,141,0,yes
4000027262,GBP,136,136,0,yes
4000016892,GBP,131,131,0,yes
4000003982,GBP,128,128,0,yes
4000022242,GBP,120,120,0,yes
4000022632,GBP,119,119,0,yes
4000020932,GBP,118,118,0,yes
4000016562,GBP,110,110,0,yes
4000032152,GBP,103,103,0,yes
4000021532,GBP,102,102,0,yes
4000037482,GBP,94,94,0,yes
4000024922,GBP,89,89,0,yes
4000031352,GBP,89,89,0,yes
4000038052,GBP,88,88,0,yes
4000017092,GBP,85,85,0,yes
4000023952,GBP,78,78,0,yes
4000018042,GBP,76,76,0,yes
4000034872,GBP,75,75,0,yes
4000028892,GBP,68,68,0,yes
4000037622,GBP,68,68,0,yes
4000010932,GBP,63,63,0,yes
4000011492,GBP,63,63,0,yes
4000034812,GBP,62,62,0,yes
4000025442,GBP,57,57,0,yes
4000010282,GBP,56,56,0,yes
4000029532,GBP,56,56,0,yes
4000036032,GBP,56,56,0,yes
4000022212,GBP,50,50,0,yes
4000010462,GBP,49,49,0,yes
4000021252,GBP,30,30,0,yes
4000018372,GBP,19,19,0,yes
4000003842,GBP,16,16,0,yes
4000030892,GBP,16,16,0,yes
4000036352,GBP,16,16,0,yes
4000039892,GBP,16,16,0,yes
4000030142,GBP,15,15,0,yes
4000012532,GBP,11,11,0,yes
4000038862,GBP,10,10,0,yes
4000003142,GBP,9,9,0,yes
4000003182,GBP,9,9,0,yes
4000025172,GBP,9,9,0,yes
4000019362,GBP,7,7,0,yes
4000032872,GBP,7,7,0,yes
4000002532,GBP,6,6,0,yes
4000019942,GBP,6,6,0,yes
4000021162,GBP,6,6,0,yes
4000025412,GBP,6,6,0,yes
4000025592,GBP,6,6,0,yes
4000033912,GBP,6,6,0,yes
4000003872,GBP,5,5,0,yes
4000034832,GBP,5,5,0,yes
4000004052,GBP,4,4,0,yes
4000009152,GBP,4,4,0,yes
4000026852,GBP,4,4,0,yes
4000028822,GBP,4,4,0,yes
4000039122,GBP,3,3,0,yes
4000039462,GBP,3,3,0,yes
4000024982,GBP,2,2,0,yes
4000008962,GBP,1,1,0,yes
4000009992,GBP,1,1,0,yes
4000024432,GBP,1,1,0,yes
4000039952,GBP,1,1,0,yes
4000032223,GBP,149,149,0,yes
4000032553,GBP,148,148,0,yes
4000030293,GBP,146,146,0,yes
4000016013,GBP,142,142,0,yes
4000033393,GBP,142,142,0,yes
4000017383,GBP,138,138,0,yes
4000001723,GBP,137,137,0,yes
4000023613,GBP,122,122,0,yes
4000024823,GBP,119,119,0,yes
4000033283,GBP,113,113,0,yes
4000031073,GBP,111,111,0,yes
4000034223,GBP,111,111,0,yes
4000004273,GBP,110,110,0,yes
4000037703,GBP,110,110,0,yes
4000037933,GBP,103,103,0,yes
4000007553,GBP,102,102,0,yes
4000008963,GBP,98,98,0,yes
4000024193,GBP,90,90,0,yes
4000018153,GBP,86,86,0,yes
