Script start time: '2025-05-02 13:01:58'
```shell

1. Non-categorised on master
+++++++++++++
2. Non-categorised on shards
+++++++++++++
Inserting liability adjustments from /home/gitlab-runner/misc-script-runner/ASE-1694_mrvegas/liability_adjustments_mrv.csv for 2025 4  ASE-1694
Inserting PLR liability UserId:[863418]  Amount:[debit CAD -4370]  Description:[Multiple wins not credited - microgaming.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[863418]  Amount:[CAD -4370]  Description:[Multiple wins not credited - microgaming.] ... Inserted
Inserting PLR liability UserId:[772929]  Amount:[debit CAD -340]  Description:[FRB not credited - playngo.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[772929]  Amount:[CAD -340]  Description:[FRB not credited - playngo.] ... Inserted
Inserting PLR liability UserId:[236422]  Amount:[credit EUR 4000]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[236422]  Amount:[EUR 4000]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting PLR liability UserId:[574472]  Amount:[debit EUR -1048]  Description:[FRB not credited - qspin.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[574472]  Amount:[EUR -1048]  Description:[FRB not credited - qspin.] ... Inserted
Inserting PLR liability UserId:[249852]  Amount:[credit EUR 1038]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[249852]  Amount:[EUR 1038]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting PLR liability UserId:[623533]  Amount:[debit EUR -120]  Description:[FRB not credited - playngo.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[623533]  Amount:[EUR -120]  Description:[FRB not credited - playngo.] ... Inserted
Inserting PLR liability UserId:[623533]  Amount:[credit EUR 2120]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[623533]  Amount:[EUR 2120]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting PLR liability UserId:[866583]  Amount:[credit EUR 2000]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[866583]  Amount:[EUR 2000]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting PLR liability UserId:[683945]  Amount:[debit EUR -3535]  Description:[FRB not credited - qspin.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[683945]  Amount:[EUR -3535]  Description:[FRB not credited - qspin.] ... Inserted
Inserting PLR liability UserId:[869050]  Amount:[debit GBP -21600]  Description:[Sportsbook win not credited - altenar.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[869050]  Amount:[GBP -21600]  Description:[Sportsbook win not credited - altenar.] ... Inserted
Inserting PLR liability UserId:[876740]  Amount:[credit GBP 10000]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[876740]  Amount:[GBP 10000]  Description:[Pragmatic Promo Win.] ... Inserted
Inserting PLR liability UserId:[787160]  Amount:[debit GBP -500]  Description:[Bet executed in Previous month but updated in Current month - nyx.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[787160]  Amount:[GBP -500]  Description:[Bet executed in Previous month but updated in Current month - nyx.] ... Inserted
Inserting PLR liability UserId:[787160]  Amount:[credit GBP 4500]  Description:[Win executed in Previous month but updated in Current month - nyx.] ... Inserted
Inserting Type 91 cash transaction dated [2025-4-01 01:01:01] for UserId:[787160]  Amount:[GBP 4500]  Description:[Win executed in Previous month but updated in Current month - nyx.] ... Inserted
Inserting PLR liability UserId:[681770]  Amount:[debit GBP -32]  Description:[FRB not credited - pragmatic.] ... Inserted
